N_stages,feed_stage,feed_stage_ratio,reflux_ratio,z_feed_benzene,feed_temperature_K,feed_pressure_Pa,feed_quality_q,feed_vapor_fraction,xD_distillate_purity,xB_bottoms_purity,Qc_condenser_duty_kW,Qr_reboiler_duty_kW,bubble_point_T_K,relative_volatility
20,12,0.6,1.7427,0.6207,344.14,90153.0,0.621,0.379,0.80747,0.12895,1.722,1.974,450.0,1.9965
5,2,0.4,1.74,0.5264,342.9,99873.0,0.857,0.143,0.65709,0.15397,1.778,2.015,450.0,1.9965
13,3,0.231,3.0553,0.3595,392.58,119636.0,0.5457,0.4543,0.70654,0.03669,1.707,1.974,300.0,2.9638
10,6,0.6,3.2903,0.3664,375.8,102651.0,0.5996,0.4004,0.54127,0.07435,2.374,2.717,450.0,1.9965
20,14,0.7,3.2364,0.6356,340.65,94076.0,0.9387,0.0613,0.83104,0.12289,2.653,2.905,450.0,1.9965
7,2,0.286,1.1842,0.8953,360.82,104409.0,0.8694,0.1306,0.92421,0.64873,1.679,1.771,450.0,1.9965
24,9,0.375,4.4853,0.6295,373.07,100816.0,0.5069,0.4931,0.9026,0.06897,3.172,3.472,450.0,1.9965
8,5,0.625,1.9155,0.5462,335.84,123708.0,0.6242,0.3758,0.67147,0.16716,1.919,2.056,300.0,2.9638
23,14,0.609,1.344,0.6845,391.77,102534.0,0.6072,0.3928,0.81217,0.20948,1.6,1.792,450.0,1.9965
7,2,0.286,4.5327,0.4722,386.25,121557.0,0.6354,0.3646,0.61785,0.12211,3.436,3.482,300.0,2.9638
23,8,0.348,4.8137,0.1481,365.36,125675.0,0.6238,0.3762,0.91617,0.0038,0.79,1.392,300.0,2.9638
24,10,0.417,4.4209,0.5498,397.7,107353.0,0.5313,0.4687,0.88136,0.04961,2.809,3.175,450.0,1.9965
11,5,0.455,4.2,0.8661,359.24,126398.0,0.7295,0.2705,0.90532,0.56317,3.958,3.895,300.0,2.9638
24,13,0.542,3.552,0.2402,398.89,105093.0,0.8664,0.1336,0.79093,0.01255,1.155,1.807,450.0,1.9965
13,5,0.385,3.1136,0.652,376.75,128563.0,0.8034,0.1966,0.84089,0.12963,2.611,2.61,300.0,2.9638
5,2,0.4,1.1653,0.2607,374.43,93572.0,0.8364,0.1636,0.46478,0.04115,0.999,1.441,450.0,1.9965
12,7,0.583,2.5155,0.5287,341.62,117481.0,0.5406,0.4594,0.72142,0.10835,2.103,2.3,300.0,2.9638
11,2,0.182,2.3653,0.1773,391.73,109753.0,0.9757,0.0243,0.40439,0.02266,1.219,1.766,450.0,1.9965
22,8,0.364,1.891,0.4603,359.92,105506.0,0.9192,0.0808,0.81803,0.04229,1.349,1.772,450.0,1.9965
12,7,0.583,3.8384,0.7049,341.36,115308.0,0.9025,0.0975,0.85388,0.17916,3.255,3.31,300.0,2.9638
5,3,0.6,2.8827,0.3781,330.88,118154.0,0.9115,0.0885,0.54971,0.07882,2.181,2.399,300.0,2.9638
15,7,0.467,1.1404,0.6319,369.18,90175.0,0.9664,0.0336,0.73352,0.23546,1.485,1.67,450.0,1.9965
22,11,0.5,1.7248,0.7364,366.92,96678.0,0.7721,0.2279,0.81861,0.32321,1.967,2.117,450.0,1.9965
14,4,0.286,3.6697,0.8417,380.35,118522.0,0.6001,0.3999,0.93008,0.30602,3.44,3.383,300.0,2.9638
7,3,0.429,1.1197,0.2877,392.32,116655.0,0.8084,0.1916,0.4843,0.04848,1.034,1.136,300.0,2.9638
11,5,0.455,4.3751,0.4195,335.56,128642.0,0.8714,0.1286,0.67628,0.06176,2.739,2.996,300.0,2.9638
20,7,0.35,2.8796,0.2219,381.2,120442.0,0.869,0.131,0.92344,0.00627,0.783,1.19,300.0,2.9638
20,7,0.35,2.8185,0.894,343.12,128031.0,0.7607,0.2393,0.9732,0.27573,2.895,2.873,300.0,2.9638
24,10,0.417,3.2881,0.8416,390.07,118102.0,0.5342,0.4658,0.98441,0.11116,3.065,3.03,300.0,2.9638
21,5,0.238,4.2637,0.532,387.33,101922.0,0.6856,0.3144,0.81323,0.06735,2.84,3.186,450.0,1.9965
6,2,0.333,2.2608,0.7736,367.86,94215.0,0.9604,0.0396,0.83611,0.40536,2.41,2.54,450.0,1.9965
5,2,0.4,3.6477,0.5168,379.72,121273.0,0.7922,0.2078,0.65014,0.1479,2.994,2.982,300.0,2.9638
20,8,0.4,3.1761,0.5989,352.0,115766.0,0.7692,0.2308,0.96053,0.03317,2.181,2.38,300.0,2.9638
16,4,0.25,1.9215,0.1713,362.98,91927.0,0.6344,0.3656,0.40002,0.02154,1.034,1.59,450.0,1.9965
9,6,0.667,4.4902,0.7042,387.51,104402.0,0.6842,0.3158,0.78585,0.31119,3.946,4.101,450.0,1.9965
9,4,0.444,4.1492,0.2022,362.15,128272.0,0.9477,0.0523,0.42237,0.02755,2.033,2.297,300.0,2.9638
13,7,0.538,3.5655,0.7609,355.05,110016.0,0.8332,0.1668,0.82686,0.38612,3.358,3.492,450.0,1.9965
13,8,0.615,4.3724,0.7256,364.59,107309.0,0.8937,0.1063,0.80135,0.33767,3.897,4.044,450.0,1.9965
7,3,0.429,4.4426,0.667,387.98,108308.0,0.7272,0.2728,0.7589,0.26978,3.845,4.014,450.0,1.9965
