N_stages,feed_stage,feed_stage_ratio,reflux_ratio,z_feed_benzene,feed_temperature_K,feed_pressure_Pa,feed_quality_q,feed_vapor_fraction,xD_distillate_purity,xB_bottoms_purity,Qc_condenser_duty_kW,Qr_reboiler_duty_kW,bubble_point_T_K,relative_volatility
11,4,0.364,3.2792,0.2647,351.39,117531.0,0.6152,0.3848,0.55373,0.03147,1.689,2.065,300.0,2.9638
24,17,0.708,1.9259,0.1895,391.37,95622.0,0.5007,0.4993,0.79738,0.00856,0.582,1.292,450.0,1.9965
19,13,0.684,3.4214,0.3158,399.74,109424.0,0.8647,0.1353,0.64523,0.03406,1.789,2.284,450.0,1.9965
15,8,0.533,2.5195,0.1457,355.78,91101.0,0.9834,0.0166,0.38146,0.01711,1.112,1.708,450.0,1.9965
12,6,0.5,3.1186,0.5249,361.4,110218.0,0.6121,0.3879,0.65605,0.15305,2.67,2.907,450.0,1.9965
25,11,0.44,2.6317,0.8493,380.54,128561.0,0.8315,0.1685,0.98351,0.12284,2.619,2.506,300.0,2.9638
11,4,0.364,2.0368,0.1315,392.03,105368.0,0.8709,0.1291,0.37119,0.01485,0.891,1.51,450.0,1.9965
23,9,0.391,4.7835,0.1977,371.51,91560.0,0.9242,0.0758,0.75847,0.01034,1.26,1.95,450.0,1.9965
15,8,0.533,4.0071,0.4618,357.41,91238.0,0.7113,0.2887,0.61031,0.11663,3.08,3.355,450.0,1.9965
15,9,0.6,1.3885,0.8471,358.88,105519.0,0.6515,0.3485,0.8893,0.53718,1.81,1.916,450.0,1.9965
25,16,0.64,4.4476,0.3529,378.69,96401.0,0.6626,0.3374,0.85412,0.01919,1.88,2.432,450.0,1.9965
8,5,0.625,2.8472,0.5058,330.23,90934.0,0.8563,0.1437,0.64219,0.14119,2.458,2.706,450.0,1.9965
12,3,0.25,4.5571,0.1333,373.37,120249.0,0.9084,0.0916,0.57601,0.00948,1.071,1.506,300.0,2.9638
7,3,0.429,4.1594,0.2187,354.88,108341.0,0.5908,0.4092,0.43432,0.03108,2.141,2.633,450.0,1.9965
25,6,0.24,2.5859,0.8893,385.59,101570.0,0.6855,0.3145,0.91986,0.63349,2.751,2.845,450.0,1.9965
6,3,0.5,0.8944,0.8721,336.51,126003.0,0.951,0.049,0.9074,0.59206,1.446,1.413,300.0,2.9638
16,7,0.438,1.9284,0.104,371.17,94646.0,0.9033,0.0967,0.35126,0.01087,0.719,1.388,450.0,1.9965
10,6,0.6,3.0749,0.8614,363.67,128237.0,0.9924,0.0076,0.89969,0.56796,3.101,2.962,300.0,2.9638
6,2,0.333,3.4606,0.6113,374.96,102559.0,0.8771,0.1229,0.71858,0.21715,3.059,3.253,450.0,1.9965
25,7,0.28,1.8831,0.7943,334.54,125536.0,0.6966,0.3034,0.97976,0.08298,1.955,2.051,300.0,2.9638
5,2,0.4,1.3853,0.4638,370.6,114118.0,0.7953,0.2047,0.61179,0.11768,1.47,1.516,300.0,2.9638
16,10,0.625,4.3067,0.5125,369.3,123068.0,0.8305,0.1695,0.88368,0.03939,2.561,2.733,300.0,2.9638
16,8,0.5,4.9345,0.4911,369.25,129361.0,0.5392,0.4608,0.88191,0.03534,2.752,3.025,300.0,2.9638
21,6,0.286,3.0079,0.6335,372.24,101536.0,0.7722,0.2278,0.84768,0.10765,2.46,2.724,450.0,1.9965
14,4,0.286,1.5211,0.2117,377.35,128445.0,0.8547,0.1453,0.65721,0.01551,0.676,1.036,300.0,2.9638
20,12,0.6,1.9437,0.124,386.35,105579.0,0.5837,0.4163,0.56983,0.0087,0.534,1.266,450.0,1.9965
19,5,0.263,0.8772,0.3463,348.89,105420.0,0.8903,0.1097,0.52855,0.06653,1.007,1.368,450.0,1.9965
19,12,0.632,4.6401,0.6637,387.75,103615.0,0.7919,0.2081,0.82418,0.16063,3.701,3.921,450.0,1.9965
23,13,0.565,1.2946,0.2615,364.88,111656.0,0.9761,0.0239,0.69708,0.0198,0.716,1.308,450.0,1.9965
16,4,0.25,3.2214,0.6387,335.39,96166.0,0.5212,0.4788,0.73845,0.24181,2.939,3.121,450.0,1.9965
24,7,0.292,1.951,0.8759,334.1,112148.0,0.6327,0.3673,0.97046,0.23119,2.201,2.235,300.0,2.9638
7,5,0.714,3.1275,0.1751,353.4,111668.0,0.8008,0.1992,0.40279,0.02225,1.483,1.851,300.0,2.9638
9,3,0.333,3.536,0.6381,384.94,120476.0,0.6483,0.3517,0.73797,0.24118,3.157,3.122,300.0,2.9638
23,10,0.435,4.2849,0.455,379.54,123346.0,0.8572,0.1428,0.94637,0.01856,2.131,2.34,300.0,2.9638
11,7,0.636,1.667,0.7945,385.2,107618.0,0.8795,0.1205,0.85123,0.43895,1.986,2.109,450.0,1.9965
25,18,0.72,0.8462,0.2417,366.21,102093.0,0.5513,0.4487,0.62004,0.02165,0.597,1.179,450.0,1.9965
13,9,0.692,1.3749,0.6541,360.81,100373.0,0.7569,0.2431,0.74957,0.25666,1.667,1.842,450.0,1.9965
11,6,0.545,4.5801,0.7705,340.32,97785.0,0.7544,0.2456,0.83384,0.40055,4.12,4.25,450.0,1.9965
22,9,0.409,4.4703,0.8557,352.97,92306.0,0.6846,0.3154,0.91612,0.43403,4.11,4.222,450.0,1.9965
8,2,0.25,3.3091,0.6466,360.38,103698.0,0.9665,0.0335,0.74414,0.2493,3.013,3.191,450.0,1.9965
18,11,0.611,3.3222,0.4977,336.2,100810.0,0.9138,0.0862,0.68279,0.10553,2.57,2.863,450.0,1.9965
22,11,0.5,3.5932,0.5943,345.44,128657.0,0.8486,0.1514,0.96008,0.03255,2.381,2.59,300.0,2.9638
13,6,0.462,1.5366,0.7951,371.88,112308.0,0.8572,0.1428,0.8579,0.41318,1.88,1.769,300.0,2.9638
25,17,0.68,4.6405,0.5565,381.5,103891.0,0.7309,0.2691,0.90094,0.0449,2.899,3.269,450.0,1.9965
6,2,0.333,2.5588,0.1243,399.88,113219.0,0.9605,0.0395,0.366,0.01377,1.001,1.222,300.0,2.9638
24,11,0.458,2.4092,0.8448,395.32,95568.0,0.8473,0.1527,0.88761,0.53234,2.581,2.688,450.0,1.9965
19,4,0.211,2.9795,0.6516,374.98,107762.0,0.8645,0.1355,0.79152,0.18413,2.657,2.867,450.0,1.9965
11,5,0.455,0.9973,0.6412,359.49,115049.0,0.9308,0.0692,0.74024,0.24414,1.393,1.354,300.0,2.9638
16,4,0.25,1.4984,0.2725,374.53,109556.0,0.637,0.363,0.47332,0.04426,1.182,1.612,450.0,1.9965
12,3,0.25,3.8997,0.6271,385.0,106071.0,0.9035,0.0965,0.73003,0.23106,3.39,3.577,450.0,1.9965
19,5,0.263,1.1478,0.4151,338.28,129754.0,0.5976,0.4024,0.88131,0.02344,0.845,1.251,300.0,2.9638
7,4,0.571,3.3332,0.621,358.69,125213.0,0.6727,0.3273,0.72559,0.22558,2.988,3.021,300.0,2.9638
18,11,0.611,1.8305,0.1853,388.79,114936.0,0.6678,0.3322,0.88266,0.00596,0.499,0.98,300.0,2.9638
21,11,0.524,2.435,0.6263,356.87,112775.0,0.9893,0.0107,0.96323,0.03718,1.87,1.982,300.0,2.9638
8,5,0.625,2.0125,0.8995,370.03,114826.0,0.9283,0.0717,0.92726,0.65968,2.318,2.162,300.0,2.9638
22,9,0.409,2.2938,0.1386,371.14,98052.0,0.8506,0.1494,0.69789,0.00745,0.547,1.293,450.0,1.9965
12,4,0.333,3.82,0.8817,342.91,105806.0,0.8635,0.1365,0.91438,0.61488,3.69,3.786,450.0,1.9965
8,5,0.625,2.0479,0.4255,355.36,91578.0,0.781,0.219,0.58408,0.09895,1.809,2.108,450.0,1.9965
6,2,0.333,3.1789,0.7966,353.42,109022.0,0.9735,0.0265,0.85274,0.44246,3.114,3.236,450.0,1.9965
10,7,0.7,2.7994,0.7259,331.83,111721.0,0.7481,0.2519,0.80156,0.33803,2.756,2.81,300.0,2.9638
14,3,0.214,3.5874,0.5536,331.69,99110.0,0.6903,0.3097,0.67682,0.1723,3.035,3.257,450.0,1.9965
8,5,0.625,4.7347,0.6908,388.22,128561.0,0.5815,0.4185,0.77611,0.29557,4.097,4.056,300.0,2.9638
